Frequencies (kHz),Sine Amplitude (mV),Square Amplitude (V),Triangle Amplitude,Saw Amplitude
4,1007,1274,881.4,637.4
8,,,,318.7
12,,425.2,90.11,212.7
16,,,,159.6
20,,255.2,32.5,127.6
24,,,,106.4
28,,182.4,16.54,91.22
32,,,,76.76
36,,141.9,10.01,70.95
40,,,,63.8
44,,116.1,6.675,58.04
48,,,,53.2
52,,98.19,4.788,49.09
56,,,,45.56
60,,85.08,3.579,42.51
64,,,,39.85
68,,75.02,2.805,37.48
72,,,,35.4
76,,67.13,2.225,33.52
80,,,,31.87
84,,60.8,1.838,30.37
88,,,,28.97
92,,55.53,1.499,27.71
96,,,,26.51
100,,34.82,,17.36
